a0,a1,id
68.601997,102.491997,1
454.665985,264.808990,2
101.283997,169.285995,3
372.614990,263.140991,4
300.989014,46.555000,5
100.904999,205.776993,6
110.170998,55.647999,7
118.856003,47.445999,8
355.247009,76.431000,9
276.085999,182.048004,10
143.376007,117.737999,11
204.207001,133.410004,12
78.260002,139.326996,13
158.722000,211.529999,14
68.433998,59.125000,15
407.505005,160.498001,16
416.434998,150.445999,17
507.549011,190.889008,18
149.841003,204.709000,19
498.759003,181.947998,20
274.614990,232.733994,21
84.023003,90.084000,22
362.240997,242.054993,23
505.821014,159.210007,24
420.803986,134.830002,25
504.035004,314.125000,26
356.670013,199.093994,27
326.545990,91.766998,28
214.477005,63.821999,29
351.351013,86.885002,30
216.041000,242.024994,31
441.700012,277.333008,32
68.678001,203.095001,33
547.051025,99.218002,34
405.983002,141.934006,35
402.239990,247.876007,36
197.134003,260.622009,37
163.141006,66.302002,38
561.950989,172.966995,39
340.036987,115.315002,40
63.076000,78.059998,41
261.072998,268.122009,42
319.376007,65.832001,43
494.333008,148.839005,44
537.507019,279.666992,45
430.949005,114.013000,46
393.601013,118.588997,47
320.429993,57.284000,48
77.561996,152.847000,49
361.268005,272.518005,50
417.066010,120.683998,51
79.098000,128.404999,52
76.775002,83.792000,53
136.695999,213.328003,54
423.141998,161.445999,55
88.132004,84.512001,56
201.807999,97.972000,57
200.869003,200.106003,58
351.790009,207.098999,59
127.745003,218.070007,60
561.827026,150.697006,61
144.490997,171.658005,62
571.211975,245.481995,63
559.039001,230.925995,64
289.503998,114.581001,65
209.492996,54.874001,66
431.458008,269.970001,67
429.272003,284.454987,68
45.702999,139.164993,69
279.834991,156.000000,70
321.253998,75.781998,71
199.570999,159.617004,72
179.005997,238.615005,73
57.527000,198.425995,74
359.072998,279.493988,75
289.561005,274.976013,76
366.042999,43.703999,77
493.071014,137.214996,78
74.259003,114.186996,79
63.905998,186.028000,80
272.247009,148.520004,81
450.420013,276.351013,82
118.652000,47.566002,83
153.822006,156.339996,84
206.664001,148.380005,85
398.006012,120.303001,86
246.253998,234.438004,87
92.309998,114.417999,88
529.077026,73.430000,89
129.910004,133.876999,90
382.894989,44.820999,91
506.032990,181.779007,92
62.486000,89.726997,93
296.484009,74.566002,94
551.643982,152.569000,95
209.496994,231.393997,96
239.556000,241.076004,97
540.181030,57.262001,98
172.682999,272.181000,99
290.518005,190.050995,100
316.924988,50.752998,101
97.491997,58.952999,102
156.371994,260.433990,103
